"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 21 17:22:02 GMT 2024","Mon Oct 21 17:22:03 GMT 2024","777","chromium","","Builder","","","Пользователь может изменить bio. Page Object - junior version",""
"passed","Mon Oct 21 17:22:03 GMT 2024","Mon Oct 21 17:22:04 GMT 2024","725","chromium","","Builder","","","Пользователь может изменить bio. Page Object - junior version",""
"passed","Mon Oct 21 17:22:00 GMT 2024","Mon Oct 21 17:22:00 GMT 2024","38","chromium","","API challenge","","","Получить список заданий get /challenges",""
"passed","Mon Oct 21 17:21:58 GMT 2024","Mon Oct 21 17:21:58 GMT 2024","23","chromium","","API challenge v2","","","Получить список заданий get /challenges @API",""
"passed","Mon Oct 21 17:21:58 GMT 2024","Mon Oct 21 17:21:58 GMT 2024","205","chromium","","","","","mocks a fruit and doesn't call api",""
"passed","Mon Oct 21 17:22:05 GMT 2024","Mon Oct 21 17:22:06 GMT 2024","726","chromium","","Page Object ","","","Пользователь может изменить bio. Page Object - middle version",""
"passed","Mon Oct 21 17:22:00 GMT 2024","Mon Oct 21 17:22:00 GMT 2024","47","chromium","","API challenge","","","Отредактировать задание PUT /todos/{id}",""
"failed","Mon Oct 21 17:22:00 GMT 2024","Mon Oct 21 17:22:00 GMT 2024","27","chromium","","API challenge v3","","","Получить список заданий get /challenges @API",""
"passed","Mon Oct 21 17:22:04 GMT 2024","Mon Oct 21 17:22:05 GMT 2024","727","chromium","","Page Object ","","","Пользователь может изменить bio. Page Object - junior version",""
"failed","Mon Oct 21 17:21:52 GMT 2024","Mon Oct 21 17:21:57 GMT 2024","5853","Web interface","Essential features","Authentication","","","Пользователь может изменить bio. Page Object - junior version",""
"passed","Mon Oct 21 17:22:02 GMT 2024","Mon Oct 21 17:22:02 GMT 2024","173","chromium","","CSS","","","Проверить цвет логотипа",""
"passed","Mon Oct 21 17:22:01 GMT 2024","Mon Oct 21 17:22:02 GMT 2024","819","chromium","","Builder","","","Пользователь может изменить bio. Page Object - junior version",""
"passed","Mon Oct 21 17:22:04 GMT 2024","Mon Oct 21 17:22:04 GMT 2024","661","chromium","","Builder","","","Две фикстуры",""
