"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","234","Отредактировать задание PUT /todos/{id}","chromium","Mon Nov 04 19:23:23 GMT 2024","passed","Mon Nov 04 19:23:23 GMT 2024","API challenge","","",""
"","1178","Две фикстуры","chromium","Mon Nov 04 19:23:29 GMT 2024","passed","Mon Nov 04 19:23:30 GMT 2024","Builder","","",""
"","1194","Пользователь может изменить bio. Page Object - middle version","chromium","Mon Nov 04 19:23:31 GMT 2024","passed","Mon Nov 04 19:23:32 GMT 2024","Page Object ","","",""
"","1143","Пользователь может изменить bio. Page Object - junior version","chromium","Mon Nov 04 19:23:27 GMT 2024","passed","Mon Nov 04 19:23:29 GMT 2024","Builder","","",""
"","1089","Basic screenshot page with mask","chromium","Mon Nov 04 19:23:41 GMT 2024","failed","Mon Nov 04 19:23:42 GMT 2024","Visual","","",""
"","1042","Basic screenshot page","chromium","Mon Nov 04 19:23:32 GMT 2024","failed","Mon Nov 04 19:23:33 GMT 2024","Visual","","",""
"","1249","Пользователь может изменить bio. Page Object - junior version","chromium","Mon Nov 04 19:23:24 GMT 2024","passed","Mon Nov 04 19:23:26 GMT 2024","Builder","","",""
"","240","Получить список заданий get /challenges","chromium","Mon Nov 04 19:23:22 GMT 2024","passed","Mon Nov 04 19:23:23 GMT 2024","API challenge","","",""
"","1164","Basic full screenshot page","chromium","Mon Nov 04 19:23:34 GMT 2024","failed","Mon Nov 04 19:23:35 GMT 2024","Visual","","",""
"","6323","Пользователь может изменить bio. Page Object - junior version","Web interface","Mon Nov 04 19:23:11 GMT 2024","failed","Mon Nov 04 19:23:18 GMT 2024","Authentication","Essential features","",""
"","542","mocks a fruit and doesn't call api","chromium","Mon Nov 04 19:23:18 GMT 2024","passed","Mon Nov 04 19:23:19 GMT 2024","","","",""
"","590","Проверить цвет логотипа","chromium","Mon Nov 04 19:23:26 GMT 2024","passed","Mon Nov 04 19:23:26 GMT 2024","CSS","","",""
"","2165","Basic screenshot page with one mock","chromium","Mon Nov 04 19:23:44 GMT 2024","failed","Mon Nov 04 19:23:46 GMT 2024","Visual","","",""
"","187","Получить список заданий get /challenges @API","chromium","Mon Nov 04 19:23:19 GMT 2024","passed","Mon Nov 04 19:23:19 GMT 2024","API challenge v2","","",""
"","922","Basic screenshot element","chromium","Mon Nov 04 19:23:37 GMT 2024","failed","Mon Nov 04 19:23:38 GMT 2024","Visual","","",""
"","1023","Basic screenshot page with mock","chromium","Mon Nov 04 19:23:43 GMT 2024","failed","Mon Nov 04 19:23:44 GMT 2024","Visual","","",""
"","1199","Basic screenshot element with","chromium","Mon Nov 04 19:23:39 GMT 2024","failed","Mon Nov 04 19:23:40 GMT 2024","Visual","","",""
"","1269","Basic crop screenshot page","chromium","Mon Nov 04 19:23:36 GMT 2024","failed","Mon Nov 04 19:23:37 GMT 2024","Visual","","",""
"","1190","Пользователь может изменить bio. Page Object - junior version","chromium","Mon Nov 04 19:23:30 GMT 2024","passed","Mon Nov 04 19:23:31 GMT 2024","Page Object ","","",""
"","178","Получить список заданий get /challenges @API","chromium","Mon Nov 04 19:23:21 GMT 2024","failed","Mon Nov 04 19:23:22 GMT 2024","API challenge v3","","",""
"","1238","Пользователь может изменить bio. Page Object - junior version","chromium","Mon Nov 04 19:23:26 GMT 2024","passed","Mon Nov 04 19:23:27 GMT 2024","Builder","","",""
