"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1532","Basic screenshot page","chromium","Fri Nov 22 22:58:47 GMT 2024","failed","Fri Nov 22 22:58:48 GMT 2024","Visual","","",""
"","1056","Basic screenshot element","chromium","Fri Nov 22 22:58:53 GMT 2024","failed","Fri Nov 22 22:58:54 GMT 2024","Visual","","",""
"","1318","Пользователь может изменить bio. Page Object - junior version","chromium","Fri Nov 22 22:58:40 GMT 2024","passed","Fri Nov 22 22:58:42 GMT 2024","Builder","","",""
"","1279","Две фикстуры","chromium","Fri Nov 22 22:58:43 GMT 2024","passed","Fri Nov 22 22:58:44 GMT 2024","Builder","","",""
"","226","Получить список заданий get /challenges @API","chromium","Fri Nov 22 22:58:32 GMT 2024","passed","Fri Nov 22 22:58:33 GMT 2024","API challenge v2","","",""
"","1757","Basic full screenshot page","chromium","Fri Nov 22 22:58:49 GMT 2024","failed","Fri Nov 22 22:58:51 GMT 2024","Visual","","",""
"","1392","Пользователь может изменить bio. Page Object - junior version","chromium","Fri Nov 22 22:58:38 GMT 2024","passed","Fri Nov 22 22:58:40 GMT 2024","Builder","","",""
"","1275","Пользователь может изменить bio. Page Object - middle version","chromium","Fri Nov 22 22:58:46 GMT 2024","passed","Fri Nov 22 22:58:47 GMT 2024","Page Object ","","",""
"","233","Получить список заданий get /challenges @API","chromium","Fri Nov 22 22:58:35 GMT 2024","failed","Fri Nov 22 22:58:35 GMT 2024","API challenge v3","","",""
"","1521","Basic screenshot page with one mock","chromium","Fri Nov 22 22:59:01 GMT 2024","failed","Fri Nov 22 22:59:03 GMT 2024","Visual","","",""
"","1617","Basic screenshot page with mask","chromium","Fri Nov 22 22:58:57 GMT 2024","failed","Fri Nov 22 22:58:59 GMT 2024","Visual","","",""
"","451","mocks a fruit and doesn't call api","chromium","Fri Nov 22 22:58:32 GMT 2024","passed","Fri Nov 22 22:58:32 GMT 2024","","","",""
"","1311","Basic crop screenshot page","chromium","Fri Nov 22 22:58:51 GMT 2024","failed","Fri Nov 22 22:58:53 GMT 2024","Visual","","",""
"","1535","Basic screenshot page with mock","chromium","Fri Nov 22 22:58:59 GMT 2024","failed","Fri Nov 22 22:59:01 GMT 2024","Visual","","",""
"","6399","Пользователь может изменить bio. Page Object - junior version","Web interface","Fri Nov 22 22:58:25 GMT 2024","failed","Fri Nov 22 22:58:31 GMT 2024","Authentication","Essential features","",""
"","708","Проверить цвет логотипа","chromium","Fri Nov 22 22:58:40 GMT 2024","passed","Fri Nov 22 22:58:40 GMT 2024","CSS","","",""
"","1259","Пользователь может изменить bio. Page Object - junior version","chromium","Fri Nov 22 22:58:42 GMT 2024","passed","Fri Nov 22 22:58:43 GMT 2024","Builder","","",""
"","1338","Basic screenshot element with","chromium","Fri Nov 22 22:58:55 GMT 2024","failed","Fri Nov 22 22:58:56 GMT 2024","Visual","","",""
"","311","Отредактировать задание PUT /todos/{id}","chromium","Fri Nov 22 22:58:37 GMT 2024","passed","Fri Nov 22 22:58:37 GMT 2024","API challenge","","",""
"","1275","Пользователь может изменить bio. Page Object - junior version","chromium","Fri Nov 22 22:58:44 GMT 2024","passed","Fri Nov 22 22:58:46 GMT 2024","Page Object ","","",""
"","313","Получить список заданий get /challenges","chromium","Fri Nov 22 22:58:36 GMT 2024","passed","Fri Nov 22 22:58:36 GMT 2024","API challenge","","",""
